Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:58:49     all    0.08    0.00    6.37    3.04    0.00    0.00    0.21    0.00    0.00   90.30
17:58:50     all    0.00    0.00    0.75    7.61    0.00    0.00    0.00    0.00    0.00   91.64
17:58:51     all    0.00    0.00    0.25    7.83    0.00    0.00    0.00    0.00    0.00   91.91
17:58:52     all    0.00    0.00    0.08    8.14    0.00    0.00    0.00    0.00    0.00   91.78
17:58:53     all    0.04    0.00    3.63    5.85    0.00    0.00    0.00    0.00    0.00   90.48
17:58:54     all    0.08    0.00    7.44    0.00    0.00    0.00    0.74    0.00    0.00   91.73
17:58:55     all    0.04    0.00    8.13    0.92    0.00    0.00    0.21    0.00    0.00   90.70
17:58:56     all    0.08    0.00    9.48    0.00    0.00    0.00    0.13    0.00    0.00   90.31
17:58:57     all    0.00    0.00    4.17    5.00    0.00    0.00    0.04    0.00    0.00   90.78
17:58:58     all    0.04    0.00    1.13    7.32    0.00    0.00    0.00    0.00    0.00   91.51
17:58:59     all    0.00    0.00    0.42    7.81    0.00    0.00    0.00    0.00    0.00   91.77
17:59:00     all    0.00    0.00    0.08    8.22    0.00    0.00    0.00    0.00    0.00   91.70
17:59:01     all    0.04    0.00    0.00    8.33    0.00    0.00    0.00    0.00    0.00   91.63
17:59:02     all    0.00    0.00    0.13   12.01    0.00    0.00    0.00    0.00    0.00   87.87
17:59:03     all    0.04    0.00    3.05   10.31    0.00    0.00    0.04    0.00    0.00   86.56
17:59:04     all    0.08    0.00    3.18    7.58    0.00    0.00    0.08    0.00    0.00   89.07
17:59:05     all    0.04    0.00    6.56    5.22    0.00    0.00    0.21    0.00    0.00   87.96
17:59:06     all    0.21    0.00   10.38    4.13    0.00    0.00    0.04    0.00    0.00   85.24
17:59:07     all    1.88    0.00    6.80    6.68    0.00    0.00    0.00    0.00    0.00   84.65
17:59:08     all   19.01    0.00    0.21    7.52    0.00    0.00    0.00    0.00    0.00   73.27
17:59:09     all   23.64    0.00    0.21    7.07    0.00    0.00    0.00    0.00    0.00   69.08
17:59:10     all   23.67    0.00    0.04    5.64    0.00    0.00    0.00    0.00    0.00   70.65
17:59:23     all   23.10    0.00    0.11   19.34    0.00    0.00    0.07    0.00    0.00   57.38
17:59:24     all   26.11    0.00    0.12    4.15    0.00    0.00    0.95    0.00    0.00   68.66
17:59:25     all   23.84    0.00    0.04    4.18    0.00    0.00    0.67    0.00    0.00   71.27
17:59:26     all   18.39    0.00    0.16    4.11    0.00    0.00    2.18    0.00    0.00   75.15
17:59:27     all   17.94    0.00    0.21    4.11    0.00    0.00    2.30    0.00    0.00   75.44
17:59:28     all   20.02    0.00    0.12    4.14    0.00    0.00    0.95    0.00    0.00   74.76
17:59:29     all   22.01    0.00    0.08    4.14    0.00    0.00    0.99    0.00    0.00   72.78
17:59:30     all   23.33    0.00    0.12    4.13    0.00    0.00    0.99    0.00    0.00   71.43
17:59:31     all   23.76    0.00    0.12    4.13    0.00    0.00    0.99    0.00    0.00   70.99
17:59:32     all   23.60    0.00    0.08    4.13    0.00    0.00    1.03    0.00    0.00   71.15
17:59:33     all   24.94    0.00    0.12    4.14    0.00    0.00    0.70    0.00    0.00   70.09
17:59:34     all   24.54    0.00    0.04    4.15    0.00    0.00    0.58    0.00    0.00   70.69
17:59:35     all   24.75    0.00    0.08    4.10    0.00    0.00    0.79    0.00    0.00   70.28
17:59:36     all   24.44    0.00    0.12    4.14    0.00    0.00    0.79    0.00    0.00   70.51
17:59:37     all   24.79    0.00    0.04    4.15    0.00    0.00    0.62    0.00    0.00   70.40
17:59:38     all   24.00    0.00    0.04    4.14    0.00    0.04    0.91    0.00    0.00   70.87
17:59:39     all   23.14    0.00    0.17    4.14    0.00    0.00    0.91    0.00    0.00   71.65
17:59:40     all   24.21    0.00    0.04    4.14    0.00    0.00    0.79    0.00    0.00   70.82
17:59:41     all   24.98    0.00    0.12    4.14    0.00    0.00    0.75    0.00    0.00   70.01
17:59:42     all   20.48    0.00    0.04    4.14    0.00    0.00    1.86    0.00    0.00   73.48
