NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[147][HASHGEN]: 40.48% completed, ETA 216.8 seconds, 128/512 flushes, 291.7 MB/sec
[148][HASHGEN]: 40.92% completed, ETA 214.3 seconds, 128/512 flushes, 291.0 MB/sec
[149][HASHGEN]: 41.37% completed, ETA 211.8 seconds, 128/512 flushes, 289.8 MB/sec
[150][HASHGEN]: 41.73% completed, ETA 210.1 seconds, 128/512 flushes, 238.4 MB/sec
[151][HASHGEN]: 42.03% completed, ETA 208.9 seconds, 128/512 flushes, 192.6 MB/sec
[152][HASHGEN]: 42.33% completed, ETA 207.7 seconds, 128/512 flushes, 199.5 MB/sec
[153][HASHGEN]: 42.65% completed, ETA 206.3 seconds, 128/512 flushes, 211.0 MB/sec
[154][HASHGEN]: 42.98% completed, ETA 205.0 seconds, 128/512 flushes, 210.8 MB/sec
[155][HASHGEN]: 43.30% completed, ETA 203.6 seconds, 128/512 flushes, 209.6 MB/sec
[156][HASHGEN]: 43.62% completed, ETA 202.3 seconds, 128/512 flushes, 210.7 MB/sec
[157][HASHGEN]: 43.94% completed, ETA 200.9 seconds, 128/512 flushes, 209.5 MB/sec
[158][HASHGEN]: 44.26% completed, ETA 199.6 seconds, 128/512 flushes, 209.4 MB/sec
[159][HASHGEN]: 44.58% completed, ETA 198.2 seconds, 128/512 flushes, 210.9 MB/sec
[160][HASHGEN]: 44.90% completed, ETA 196.9 seconds, 128/512 flushes, 211.2 MB/sec
[161][HASHGEN]: 45.23% completed, ETA 195.6 seconds, 128/512 flushes, 211.1 MB/sec
[162][HASHGEN]: 45.55% completed, ETA 194.2 seconds, 128/512 flushes, 211.8 MB/sec
